SIS V(mV)	-0.1
SIS C(uA)	25.2
SIS Mag (mA)	-0.1
LO PA Vd (V)	0.00
LO PA Id (mA)	0.00
IF(GHz)	Hot-Power(dBm)	Cold-Power(dBm)	Y-factor	Tsys
5.71	-59.91	-63.55	2.31	89.83
5.72	-59.87	-63.69	2.41	77.97
5.72	-59.83	-63.64	2.41	78.47
5.72	-59.80	-63.60	2.40	79.70
5.73	-59.68	-63.64	2.49	70.42
5.73	-59.79	-63.97	2.62	58.45
5.73	-59.45	-63.32	2.44	75.38
5.74	-60.09	-63.79	2.34	86.40
5.74	-59.73	-63.53	2.40	79.66
5.75	-59.94	-63.59	2.32	89.40
5.75	-60.08	-63.37	2.13	116.70
5.75	-59.93	-63.44	2.25	98.73
5.76	-60.00	-63.49	2.23	100.74
5.76	-59.47	-63.21	2.37	83.02
5.76	-59.43	-63.72	2.69	52.81
5.77	-59.79	-63.41	2.30	91.27
5.77	-59.47	-63.54	2.55	64.36
5.78	-59.49	-63.38	2.45	73.86
5.78	-59.44	-63.16	2.35	85.07
5.78	-59.51	-63.14	2.31	90.79
5.79	-59.43	-63.10	2.33	87.76
5.79	-59.93	-63.02	2.04	133.98
5.79	-59.33	-63.23	2.45	73.97
5.80	-59.15	-63.38	2.65	55.50
5.80	-59.17	-62.85	2.33	87.47
5.80	-58.62	-63.29	2.93	36.42
5.81	-59.08	-63.38	2.69	52.66
5.81	-59.45	-63.15	2.34	85.93
5.82	-59.79	-63.33	2.26	96.84
5.82	-59.76	-63.29	2.26	97.26
5.82	-59.62	-63.23	2.30	91.80
5.83	-59.71	-62.92	2.09	123.09
5.83	-59.84	-63.42	2.28	94.26
5.83	-59.83	-63.90	2.55	64.11
5.84	-59.88	-63.15	2.13	117.18
5.84	-59.56	-63.30	2.37	83.26
5.84	-60.13	-63.18	2.02	137.32
5.85	-60.01	-63.48	2.22	102.34
5.85	-59.78	-63.30	2.24	99.00
5.86	-59.52	-63.02	2.24	100.22
5.86	-59.85	-63.18	2.15	113.47
5.86	-59.66	-63.25	2.28	93.82
5.87	-59.72	-63.02	2.14	115.70
5.87	-59.66	-63.33	2.33	88.14
5.87	-59.64	-63.40	2.37	82.60
5.88	-59.56	-63.34	2.39	80.62
5.88	-59.55	-63.18	2.31	90.74
5.88	-59.61	-63.20	2.29	93.20
5.89	-59.54	-63.36	2.41	78.42
5.89	-59.32	-63.28	2.49	69.88
5.90	-59.60	-63.21	2.29	92.51
5.90	-59.28	-63.06	2.39	80.76
5.90	-59.56	-62.95	2.18	108.31
5.91	-59.38	-63.06	2.33	87.71
5.91	-59.28	-62.77	2.24	100.27
5.91	-59.34	-63.09	2.37	82.48
5.92	-59.29	-63.45	2.61	58.98
5.92	-59.38	-63.12	2.37	82.92
5.93	-59.65	-63.11	2.22	102.54
5.93	-59.02	-63.13	2.58	61.89
5.93	-59.46	-62.68	2.10	122.08
5.94	-59.80	-62.84	2.01	138.79
5.94	-59.41	-62.92	2.25	98.86
5.94	-59.47	-62.89	2.20	106.01
5.95	-59.45	-63.09	2.31	89.81
5.95	-59.75	-63.16	2.19	106.80
5.95	-59.59	-62.96	2.17	109.47
5.96	-59.62	-63.30	2.33	87.05
5.96	-59.55	-63.43	2.45	74.27
5.97	-59.59	-63.23	2.31	89.68
5.97	-60.16	-63.69	2.25	97.99
5.97	-60.03	-63.40	2.17	110.30
5.98	-59.93	-63.32	2.18	108.17
5.98	-60.25	-63.86	2.30	91.42
5.98	-59.76	-63.64	2.44	74.66
5.99	-59.90	-63.86	2.49	69.81
5.99	-59.94	-63.61	2.33	87.54
6.00	-59.72	-63.35	2.31	90.50
6.00	-59.53	-63.80	2.68	53.52
6.00	-60.19	-63.88	2.34	86.82
6.01	-60.35	-63.61	2.12	119.26
6.01	-59.50	-63.45	2.48	70.85
6.01	-60.08	-64.14	2.54	64.94
6.02	-60.20	-63.54	2.16	111.75
6.02	-60.01	-63.66	2.32	89.30
6.02	-59.94	-63.55	2.30	91.75
6.03	-60.03	-63.34	2.14	114.87
6.03	-59.84	-63.03	2.08	125.07
6.04	-60.14	-63.21	2.03	135.67
6.04	-60.03	-63.04	2.00	141.94
6.04	-59.83	-63.20	2.17	109.67
6.05	-59.71	-63.07	2.17	110.22
6.05	-59.61	-62.55	1.97	149.43
6.05	-59.42	-62.71	2.13	116.47
6.06	-59.35	-63.09	2.36	83.49
6.06	-59.29	-62.62	2.15	112.81
6.06	-59.25	-62.48	2.10	121.89
6.07	-59.43	-62.59	2.07	127.56
6.07	-59.52	-63.09	2.27	94.99
6.08	-59.32	-63.34	2.52	66.75
6.08	-59.45	-62.66	2.10	122.57
6.08	-59.60	-62.77	2.07	126.73
6.09	-59.56	-62.64	2.03	135.03
6.09	-59.72	-62.96	2.11	120.30
6.09	-59.86	-63.11	2.11	120.34
6.10	-59.53	-63.40	2.44	75.42
6.10	-59.56	-62.90	2.15	112.66
6.11	-59.09	-62.86	2.38	81.70
6.11	-59.14	-62.93	2.39	80.04
6.11	-59.77	-63.04	2.13	117.43
6.12	-59.68	-62.69	2.00	141.61
6.12	-59.79	-63.04	2.11	119.72
6.12	-59.76	-63.18	2.20	105.33
6.13	-59.96	-62.88	1.96	150.62
6.13	-59.70	-63.13	2.20	105.20
6.13	-59.84	-62.92	2.03	135.71
6.14	-59.33	-63.50	2.62	58.52
6.14	-59.83	-63.17	2.16	111.94
6.15	-59.86	-62.71	1.92	159.79
6.15	-59.58	-62.77	2.08	125.08
6.15	-59.15	-62.68	2.25	97.57
6.16	-58.98	-62.76	2.39	80.57
6.16	-59.08	-62.90	2.40	78.91
6.16	-58.96	-62.52	2.27	94.93
6.17	-59.41	-62.70	2.14	115.70
6.17	-59.42	-62.61	2.09	124.84
6.17	-59.18	-62.48	2.14	115.18
6.18	-59.52	-62.74	2.10	122.86
6.18	-59.65	-62.60	1.97	147.79
6.19	-59.46	-62.81	2.16	111.79
6.19	-59.45	-62.55	2.04	132.63
6.19	-59.69	-62.64	1.97	148.31
6.20	-59.16	-62.44	2.13	117.12
6.20	-59.05	-62.60	2.26	96.31
6.20	-59.24	-62.53	2.13	116.39
6.21	-59.21	-62.23	2.01	140.81
6.21	-59.36	-62.11	1.88	171.42
6.21	-59.63	-62.35	1.87	175.42
6.22	-59.06	-62.60	2.26	96.94
6.22	-59.35	-62.52	2.08	126.64
6.23	-59.47	-62.57	2.04	132.68
6.23	-59.45	-62.89	2.21	104.23
6.23	-59.29	-62.93	2.31	89.89
6.24	-59.49	-62.76	2.12	117.82
6.24	-59.80	-63.05	2.11	119.82
6.24	-59.81	-62.87	2.02	136.98
6.25	-59.36	-62.98	2.30	91.59
6.25	-59.71	-63.02	2.15	114.07
6.26	-59.56	-63.10	2.26	96.92
6.26	-59.54	-62.64	2.04	132.75
6.26	-59.59	-62.79	2.09	124.33
6.27	-59.70	-62.98	2.13	116.84
6.27	-59.83	-63.00	2.08	126.23
6.27	-59.84	-62.74	1.95	153.17
6.28	-59.75	-62.62	1.94	156.77
6.28	-59.63	-62.72	2.04	134.07
6.28	-59.78	-62.52	1.88	172.34
6.29	-59.83	-62.45	1.83	187.36
6.29	-59.75	-62.30	1.80	197.09
6.30	-59.12	-62.46	2.16	111.86
6.30	-59.12	-62.20	2.03	135.50
6.30	-59.53	-62.12	1.82	190.58
6.31	-59.51	-62.14	1.83	186.69
6.31	-58.93	-62.02	2.04	134.58
6.31	-59.10	-62.21	2.05	132.46
6.32	-59.15	-62.22	2.03	135.73
6.32	-59.35	-62.09	1.88	172.31
6.33	-58.93	-62.04	2.05	132.02
6.33	-59.40	-62.03	1.84	184.97
6.33	-59.49	-62.19	1.86	176.81
6.34	-59.22	-62.75	2.25	98.02
6.34	-59.20	-62.42	2.10	121.78
6.34	-59.30	-62.79	2.24	99.95
6.35	-59.60	-62.39	1.90	165.77
6.35	-59.40	-62.62	2.10	122.13
6.35	-59.64	-62.77	2.06	130.41
6.36	-59.56	-62.94	2.18	109.35
6.36	-59.31	-62.86	2.27	96.08
6.37	-59.75	-62.45	1.86	176.66
6.37	-59.77	-62.90	2.06	130.55
6.37	-59.57	-62.67	2.04	133.48
6.38	-59.96	-63.23	2.12	118.09
6.38	-60.03	-62.91	1.94	156.32
6.38	-60.11	-63.32	2.09	123.55
6.39	-60.11	-63.33	2.10	122.25
6.39	-60.16	-62.94	1.89	168.05
6.39	-59.83	-62.89	2.02	137.50
6.40	-60.14	-63.34	2.09	124.13
6.40	-60.26	-63.15	1.95	154.07
6.41	-59.96	-62.83	1.93	157.93
6.41	-60.21	-62.67	1.76	211.11
6.41	-59.95	-62.51	1.80	195.36
6.42	-59.90	-62.64	1.88	172.69
6.42	-59.79	-62.64	1.93	158.54
6.42	-59.97	-62.46	1.77	206.16
6.43	-59.54	-62.43	1.94	155.13
6.43	-59.81	-62.56	1.88	171.72
6.43	-59.55	-62.63	2.03	135.16
6.44	-59.70	-62.21	1.78	202.72
6.44	-59.55	-62.55	2.00	142.80
6.45	-59.72	-62.82	2.04	132.85
6.45	-59.65	-62.93	2.13	117.16
6.45	-59.79	-62.40	1.82	189.48
6.46	-59.41	-62.67	2.11	119.42
6.46	-59.17	-62.64	2.22	102.02
6.46	-59.28	-62.43	2.07	128.48
6.47	-59.76	-62.51	1.89	170.18
6.47	-59.75	-62.46	1.87	175.26
6.48	-59.75	-62.69	1.97	149.53
6.48	-59.51	-62.29	1.89	168.02
6.48	-59.50	-62.47	1.98	145.95
6.49	-59.89	-62.83	1.97	149.22
6.49	-59.82	-62.57	1.88	171.54
6.49	-59.83	-62.99	2.07	128.15
6.50	-59.76	-62.78	2.00	141.47
6.50	-59.82	-63.22	2.19	107.57
6.50	-59.75	-62.98	2.10	121.36
6.51	-59.73	-62.79	2.02	137.06
6.51	-59.96	-62.84	1.94	156.19
6.52	-59.92	-63.02	2.04	133.52
6.52	-59.78	-62.84	2.02	137.00
6.52	-59.95	-62.64	1.86	178.75
6.53	-59.91	-62.70	1.90	166.03
6.53	-59.88	-62.87	1.99	144.24
6.53	-59.83	-62.71	1.94	156.14
6.54	-59.89	-63.01	2.05	131.40
6.54	-59.93	-62.86	1.96	151.18
6.54	-59.67	-62.82	2.06	128.65
6.55	-59.54	-62.59	2.02	137.93
6.55	-59.54	-62.90	2.17	110.67
6.56	-59.92	-62.58	1.85	181.79
6.56	-59.50	-62.67	2.07	127.23
6.56	-59.20	-62.81	2.30	91.87
6.57	-59.43	-62.46	2.01	139.21
6.57	-59.51	-62.30	1.90	166.03
6.57	-59.59	-62.19	1.82	191.15
6.58	-59.40	-62.12	1.87	174.63
6.58	-59.27	-62.14	1.94	156.31
6.59	-59.29	-61.75	1.76	210.90
6.59	-59.32	-62.42	2.04	132.78
6.59	-59.30	-62.28	1.99	144.89
6.60	-59.63	-62.43	1.91	164.54
6.60	-59.62	-62.70	2.03	134.76
6.60	-59.22	-62.54	2.15	114.15
6.61	-59.27	-62.63	2.17	110.09
6.61	-59.71	-62.34	1.84	185.15
6.61	-59.60	-62.61	2.00	142.35
6.62	-59.38	-62.93	2.26	96.54
6.62	-59.24	-62.63	2.18	108.44
6.63	-59.80	-62.73	1.96	150.94
6.63	-59.40	-62.86	2.21	103.25
6.63	-59.35	-62.86	2.24	99.08
6.64	-60.06	-62.86	1.91	163.83
6.64	-59.54	-62.79	2.11	119.71
6.64	-59.78	-63.06	2.13	116.49
6.65	-59.70	-62.80	2.04	133.48
6.65	-59.77	-62.78	2.00	141.65
6.66	-59.97	-62.54	1.81	194.10
6.66	-59.82	-62.66	1.92	160.11
6.66	-59.41	-62.70	2.13	116.37
6.67	-59.73	-62.52	1.90	165.59
6.67	-59.69	-62.69	1.99	143.19
6.67	-59.70	-62.93	2.10	121.84
6.68	-59.57	-62.19	1.83	187.39
6.68	-59.32	-62.51	2.09	124.65
6.68	-59.51	-62.63	2.05	131.01
6.69	-59.60	-62.23	1.83	186.05
6.69	-59.38	-62.27	1.94	155.60
6.70	-58.96	-62.16	2.09	124.39
6.70	-59.04	-62.45	2.20	106.14
6.70	-59.33	-62.47	2.06	130.29
6.71	-59.24	-62.27	2.01	140.31
6.71	-59.39	-62.27	1.94	155.61
6.71	-59.34	-62.22	1.94	155.51
6.72	-58.92	-62.24	2.15	114.14
6.72	-59.16	-62.60	2.21	104.29
6.72	-59.06	-62.41	2.16	111.41
6.73	-59.28	-62.61	2.15	112.88
6.73	-59.84	-62.47	1.83	186.16
6.74	-59.49	-62.77	2.13	117.28
6.74	-59.68	-62.62	1.96	150.27
6.74	-59.74	-62.88	2.06	129.85
6.75	-59.47	-62.73	2.12	118.47
6.75	-59.69	-62.59	1.95	154.12
6.75	-60.06	-63.27	2.09	123.42
6.76	-60.16	-62.82	1.84	182.44
6.76	-60.03	-62.71	1.86	178.64
6.76	-60.07	-62.89	1.92	162.11
6.77	-60.39	-62.80	1.74	218.43
6.77	-60.29	-63.08	1.90	166.26
6.78	-60.55	-63.47	1.96	150.82
6.78	-60.48	-63.28	1.91	164.78
6.78	-60.55	-63.43	1.94	155.81
6.79	-60.71	-63.21	1.78	204.09
6.79	-60.61	-63.43	1.92	162.28
6.79	-60.56	-63.42	1.93	157.81
6.80	-60.48	-63.45	1.98	146.51
6.80	-60.32	-63.28	1.98	146.88
6.81	-60.46	-63.37	1.96	151.56
6.81	-59.99	-63.32	2.15	113.23
6.81	-60.16	-63.27	2.05	132.02
6.82	-60.37	-62.96	1.82	190.87
6.82	-60.14	-63.19	2.02	138.36
6.82	-59.96	-63.27	2.14	115.17
6.83	-59.93	-63.36	2.21	104.39
6.83	-59.67	-63.04	2.17	109.61
6.83	-60.24	-63.23	1.99	144.18
6.84	-60.52	-63.12	1.82	190.75
6.84	-60.27	-63.17	1.95	153.25
6.85	-60.33	-63.43	2.04	133.10
6.85	-60.44	-63.26	1.91	162.54
6.85	-60.37	-63.30	1.96	151.19
6.86	-60.67	-63.22	1.80	198.36
6.86	-60.40	-63.10	1.86	177.15
6.86	-60.34	-63.17	1.92	161.72
6.87	-60.46	-63.40	1.97	149.41
6.87	-60.60	-63.62	2.00	141.23
6.88	-60.76	-63.31	1.80	196.82
6.88	-60.88	-63.25	1.73	224.48
6.88	-60.74	-63.34	1.82	190.42
6.89	-60.58	-63.52	1.97	148.47
6.89	-60.74	-63.64	1.95	153.14
6.89	-60.86	-63.20	1.71	229.57
6.90	-60.40	-63.36	1.98	146.90
6.90	-60.69	-63.41	1.87	174.55
6.90	-60.48	-63.52	2.01	138.84
6.91	-60.75	-63.58	1.92	162.08
6.91	-60.54	-63.37	1.92	161.36
6.92	-60.46	-63.13	1.85	180.67
6.92	-60.52	-63.01	1.78	205.29
6.92	-60.58	-63.20	1.83	186.79
6.93	-60.51	-63.33	1.91	162.44
6.93	-60.42	-63.03	1.82	188.65
6.93	-60.61	-63.31	1.86	176.19
6.94	-60.57	-63.16	1.81	192.41
6.94	-60.39	-63.17	1.90	166.80
6.94	-60.09	-63.37	2.13	117.42
6.95	-60.13	-62.98	1.93	158.98
6.95	-60.49	-63.20	1.87	175.55
6.96	-60.36	-63.14	1.90	167.03
6.96	-60.32	-62.95	1.83	186.55
6.96	-60.48	-63.02	1.79	199.01
6.97	-60.29	-63.21	1.96	151.15
6.97	-60.29	-63.40	2.05	131.79
6.97	-60.38	-63.38	2.00	142.54
6.98	-60.66	-63.56	1.95	153.72
6.98	-60.79	-63.22	1.75	214.22
6.99	-60.70	-63.52	1.91	162.36
6.99	-60.85	-63.30	1.76	211.78
6.99	-60.69	-63.33	1.84	184.90
7.00	-60.86	-63.79	1.96	150.90
7.00	-58.34	-61.15	1.91	163.78
7.00	-58.07	-61.18	2.05	131.61
7.01	-58.58	-61.23	1.84	183.52
7.01	-58.56	-61.14	1.81	192.84
7.01	-58.22	-61.24	2.01	140.45
7.02	-58.53	-61.44	1.95	153.27
7.02	-58.43	-61.51	2.03	134.86
7.03	-58.37	-61.42	2.02	137.95
7.03	-58.66	-61.59	1.97	149.41
7.03	-58.61	-61.55	1.96	150.32
7.04	-58.76	-61.49	1.88	172.72
7.04	-58.81	-61.34	1.79	199.45
7.04	-58.72	-61.66	1.97	149.67
7.05	-58.52	-61.46	1.97	148.92
7.05	-58.67	-61.42	1.88	170.99
7.05	-58.26	-61.53	2.12	117.81
7.06	-58.57	-61.30	1.87	173.92
7.06	-58.27	-61.47	2.09	124.53
7.07	-58.27	-61.40	2.06	130.52
7.07	-58.68	-61.44	1.89	169.39
7.07	-58.41	-61.60	2.08	125.13
7.08	-58.58	-60.94	1.72	226.81
7.08	-58.65	-61.50	1.92	159.84
7.08	-58.09	-61.27	2.08	125.69
7.09	-58.24	-61.41	2.08	126.17
7.09	-58.06	-61.03	1.98	145.74
7.09	-58.37	-61.11	1.88	171.99
7.10	-58.24	-61.08	1.92	160.40
7.10	-57.88	-60.65	1.89	167.86
7.11	-58.54	-61.25	1.86	176.85
7.11	-57.89	-61.05	2.07	128.14
7.11	-58.35	-61.20	1.93	158.48
7.12	-58.28	-60.86	1.81	192.94
7.12	-58.06	-60.75	1.86	178.36
7.12	-57.99	-60.83	1.92	160.60
7.13	-58.26	-60.99	1.87	173.90
7.13	-58.01	-61.29	2.13	117.49
7.14	-58.27	-60.74	1.77	208.29
7.14	-58.02	-61.16	2.06	129.27
7.14	-57.97	-60.95	1.99	145.09
7.15	-57.95	-61.18	2.10	121.34
7.15	-58.30	-61.07	1.89	168.69
7.15	-58.45	-61.09	1.84	184.32
7.16	-58.33	-60.95	1.83	187.76
7.16	-58.02	-61.13	2.05	131.91
7.16	-57.89	-61.10	2.09	123.15
7.17	-58.03	-60.73	1.86	176.25
7.17	-57.82	-60.87	2.02	137.44
7.18	-57.32	-61.09	2.38	81.35
7.18	-58.00	-61.09	2.04	133.46
7.18	-57.50	-61.03	2.26	97.13
7.19	-58.00	-60.80	1.91	164.34
7.19	-57.84	-60.64	1.91	163.94
7.19	-57.75	-60.58	1.92	160.69
7.20	-57.82	-60.61	1.90	165.96
7.20	-57.30	-60.68	2.18	108.88
7.21	-57.60	-60.70	2.04	133.36
7.21	-57.78	-60.69	1.95	152.55
7.21	-57.66	-60.86	2.09	124.10
7.22	-58.01	-60.58	1.81	194.22
7.22	-58.07	-61.08	2.00	142.15
7.22	-58.19	-60.80	1.82	188.65
7.23	-58.31	-60.88	1.80	195.30
7.23	-58.09	-60.76	1.85	180.74
7.23	-58.31	-60.79	1.77	206.97
7.24	-58.15	-60.47	1.71	233.60
7.24	-58.38	-60.87	1.77	205.98
7.25	-58.02	-60.37	1.72	228.01
7.25	-57.98	-60.89	1.96	151.76
7.25	-58.20	-60.99	1.90	166.59
7.26	-57.92	-60.90	1.98	145.50
7.26	-57.77	-60.87	2.04	132.77
7.26	-57.91	-60.91	1.99	143.28
7.27	-58.10	-60.39	1.69	238.41
7.27	-57.85	-61.08	2.10	121.47
7.27	-57.72	-61.01	2.13	116.72
7.28	-58.04	-60.95	1.95	152.44
7.28	-57.94	-60.77	1.92	160.54
7.29	-58.03	-60.92	1.95	154.59
7.29	-58.18	-60.72	1.79	199.42
7.29	-58.07	-61.55	2.23	101.54
7.30	-58.07	-61.22	2.07	128.17
7.30	-58.04	-61.49	2.21	103.59
7.30	-58.21	-61.21	1.99	143.35
7.31	-58.12	-60.79	1.85	180.10
7.31	-58.29	-60.92	1.83	185.97
7.32	-58.07	-61.17	2.04	133.42
7.32	-58.14	-61.24	2.04	133.69
7.32	-58.33	-61.14	1.91	164.03
7.33	-58.34	-61.18	1.92	160.05
7.33	-58.34	-61.20	1.93	158.13
7.33	-58.25	-61.27	2.00	140.94
7.34	-58.23	-61.31	2.03	135.64
7.34	-58.56	-61.39	1.92	161.50
7.34	-58.70	-61.26	1.81	194.79
7.35	-58.29	-60.93	1.84	185.06
7.35	-58.27	-61.12	1.93	159.40
7.36	-58.47	-61.39	1.96	151.46
7.36	-58.45	-61.41	1.98	147.26
7.36	-58.45	-61.02	1.81	194.39
7.37	-58.21	-61.23	2.01	140.39
7.37	-58.64	-61.53	1.94	155.02
7.37	-58.21	-61.44	2.10	121.47
7.38	-58.62	-61.62	2.00	142.59
7.38	-58.95	-61.98	2.01	139.61
7.38	-58.64	-61.81	2.08	126.71
7.39	-59.12	-61.89	1.89	168.23
7.39	-59.22	-62.15	1.96	150.01
7.40	-59.27	-62.23	1.98	146.40
7.40	-59.48	-62.18	1.87	176.06
7.40	-59.27	-62.14	1.94	156.78
7.41	-59.29	-61.81	1.79	201.27
7.41	-59.51	-62.43	1.96	150.61
7.41	-59.27	-62.23	1.98	147.42
7.42	-59.47	-62.08	1.82	188.66
7.42	-59.49	-62.59	2.04	133.30
7.42	-59.33	-62.17	1.92	160.23
7.43	-59.31	-62.27	1.98	147.31
7.43	-59.25	-62.39	2.06	129.29
7.44	-59.36	-62.18	1.91	162.79
7.44	-59.12	-62.35	2.10	121.65
7.44	-59.38	-62.57	2.08	125.10
7.45	-59.45	-62.51	2.02	137.27
7.45	-59.45	-62.33	1.94	155.82
7.45	-59.44	-62.25	1.91	163.65
7.46	-59.12	-62.29	2.08	126.63
7.46	-59.42	-62.21	1.90	166.17
7.47	-59.40	-62.57	2.08	126.27
7.47	-59.32	-62.19	1.94	156.80
7.47	-59.35	-61.87	1.79	200.98
7.48	-59.58	-62.19	1.82	189.78
7.48	-59.27	-62.08	1.91	164.21
7.48	-59.51	-62.23	1.87	174.30
7.49	-59.64	-62.34	1.86	177.67
7.49	-58.98	-62.37	2.18	107.87
7.49	-59.17	-61.95	1.90	166.53
7.50	-59.26	-62.08	1.91	162.74
7.50	-59.52	-62.09	1.81	194.01
7.51	-59.18	-62.20	2.00	141.33
7.51	-59.19	-62.17	1.99	144.39
7.51	-59.11	-62.43	2.14	114.47
7.52	-59.14	-61.85	1.87	174.93
7.52	-58.98	-62.12	2.06	129.72
7.52	-59.38	-62.08	1.86	176.75
7.53	-59.29	-62.17	1.94	155.07
7.53	-59.12	-62.11	1.99	143.43
7.54	-59.34	-62.08	1.88	172.27
7.54	-59.14	-62.30	2.07	127.45
7.54	-59.45	-62.17	1.87	174.93
7.55	-59.33	-62.09	1.88	170.60
7.55	-59.20	-62.42	2.10	122.92
7.55	-59.29	-62.18	1.94	154.79
7.56	-59.37	-62.58	2.09	123.60
7.56	-59.86	-62.73	1.94	157.18
7.56	-59.64	-62.46	1.92	161.90
7.57	-59.35	-62.28	1.96	150.20
7.57	-59.60	-62.31	1.86	176.30
7.58	-59.55	-62.82	2.12	117.89
7.58	-59.97	-62.71	1.88	171.84
7.58	-59.75	-62.59	1.92	160.14
7.59	-59.73	-61.93	1.66	255.33
7.59	-59.81	-62.41	1.82	189.04
7.59	-60.00	-62.75	1.88	170.62
7.60	-60.17	-63.02	1.92	159.90
7.60	-59.84	-62.41	1.81	194.42
7.60	-59.71	-62.47	1.89	168.65
7.61	-60.32	-63.02	1.86	177.01
7.61	-60.20	-62.86	1.85	182.07
7.62	-59.91	-62.73	1.92	162.32
7.62	-59.99	-62.81	1.92	162.09
7.62	-59.91	-62.77	1.94	157.08
7.63	-59.84	-62.43	1.82	191.61
7.63	-59.64	-62.69	2.02	138.28
7.63	-59.77	-62.73	1.98	147.22
7.64	-59.77	-62.62	1.93	159.68
7.64	-59.97	-62.77	1.91	164.98
7.64	-59.82	-62.50	1.85	180.24
7.65	-59.45	-62.69	2.11	120.28
7.65	-59.37	-62.72	2.16	111.10
7.66	-59.67	-62.66	1.99	143.65
7.66	-59.90	-62.46	1.81	194.93
7.66	-59.39	-62.62	2.11	121.13
7.67	-59.63	-62.54	1.96	152.20
7.67	-60.02	-62.78	1.89	169.58
7.67	-59.91	-62.59	1.86	178.51
7.68	-59.90	-62.46	1.80	195.49
7.68	-59.81	-62.91	2.04	133.03
7.69	-60.04	-62.73	1.86	177.44
7.69	-60.28	-62.57	1.70	237.50
7.69	-60.36	-62.98	1.83	187.68
7.70	-60.29	-62.71	1.75	215.86
7.70	-59.97	-63.37	2.19	107.10
7.70	-60.35	-63.05	1.86	178.00
7.71	-60.38	-62.94	1.80	196.43
7.71	-60.42	-63.04	1.83	187.23
7.71	-60.58	-63.33	1.88	170.78
7.72	-60.40	-63.01	1.82	189.88
7.72	-60.84	-63.31	1.77	208.57
7.73	-60.64	-62.95	1.70	233.85
7.73	-60.99	-63.40	1.74	217.86
7.73	-60.89	-63.28	1.73	221.44
7.74	-60.89	-63.45	1.80	196.45
7.74	-60.91	-63.56	1.84	182.81
7.74	-60.86	-63.33	1.77	208.95
7.75	-60.57	-63.42	1.93	159.34
7.75	-60.78	-63.41	1.83	185.79
7.75	-60.50	-63.15	1.84	183.26
7.76	-60.41	-63.26	1.93	158.73
7.76	-60.33	-63.05	1.87	173.87
7.77	-60.34	-63.37	2.01	140.01
7.77	-60.51	-63.57	2.02	137.75
7.77	-60.47	-63.33	1.93	157.34
7.78	-60.30	-63.55	2.11	120.30
7.78	-60.27	-63.34	2.03	135.55
7.78	-60.49	-63.77	2.13	117.29
7.79	-60.69	-63.80	2.05	132.40
7.79	-60.79	-64.12	2.15	113.38
7.80	-60.77	-64.08	2.14	114.90
7.80	-61.03	-64.28	2.11	120.08
7.80	-60.74	-63.82	2.04	134.42
7.81	-61.05	-63.71	1.85	181.26
7.81	-60.74	-64.10	2.17	110.13
7.81	-61.30	-63.76	1.76	210.22
7.82	-61.09	-63.97	1.94	155.05
7.82	-61.28	-63.94	1.84	182.29
7.82	-61.44	-63.91	1.77	208.80
7.83	-61.39	-64.24	1.93	158.62
7.83	-61.69	-64.23	1.79	198.83
7.84	-61.31	-64.42	2.05	131.83
7.84	-61.46	-64.60	2.06	129.80
7.84	-61.49	-64.27	1.90	167.14
7.85	-61.54	-64.61	2.03	135.53
7.85	-61.56	-64.67	2.04	133.13
7.85	-61.61	-64.55	1.97	149.65
7.86	-61.50	-63.72	1.67	249.67
7.86	-61.28	-63.65	1.73	224.71
7.87	-61.18	-63.77	1.82	191.58
7.87	-60.88	-64.07	2.08	124.96
7.87	-60.80	-64.05	2.12	119.25
7.88	-60.90	-63.60	1.86	176.44
7.88	-60.48	-63.82	2.16	111.83
7.88	-60.88	-63.76	1.94	155.75
7.89	-60.82	-63.84	2.00	141.02
7.89	-60.39	-64.19	2.40	79.78
7.89	-60.32	-63.59	2.12	117.97
7.90	-61.01	-63.99	1.99	144.46
7.90	-60.80	-63.80	1.99	143.80
7.91	-60.58	-63.86	2.13	117.46
7.91	-60.46	-63.99	2.25	97.61
7.91	-60.41	-63.70	2.13	116.07
7.92	-60.46	-63.69	2.10	121.64
7.92	-60.53	-63.73	2.09	123.61
7.92	-60.93	-63.68	1.89	170.17
7.93	-60.69	-63.90	2.10	122.89
7.93	-60.58	-63.83	2.11	120.00
7.93	-60.90	-63.78	1.94	156.27
7.94	-60.83	-64.08	2.12	119.14
7.94	-60.85	-64.16	2.15	114.11
7.95	-60.91	-63.97	2.02	136.80
7.95	-61.15	-63.80	1.84	182.75
7.95	-61.01	-63.98	1.98	146.94
7.96	-61.13	-63.82	1.86	178.84
7.96	-60.96	-63.74	1.90	167.68
7.96	-61.21	-64.01	1.91	163.87
7.97	-60.94	-63.97	2.01	139.37
7.97	-60.98	-63.69	1.87	175.22
7.97	-60.85	-63.68	1.92	161.33
7.98	-60.75	-63.56	1.91	163.52
7.98	-60.79	-63.68	1.94	154.96
7.99	-60.96	-63.62	1.85	181.45
7.99	-60.94	-63.73	1.90	165.66
7.99	-60.75	-63.97	2.10	122.50
8.00	-61.01	-63.39	1.73	223.09
8.00	-60.58	-63.49	1.95	152.44
8.00	-60.51	-63.77	2.12	118.81
8.01	-60.65	-63.26	1.83	188.25
8.01	-60.62	-63.25	1.83	186.39
8.02	-60.79	-63.32	1.79	199.32
8.02	-60.58	-63.66	2.03	134.84
8.02	-60.51	-63.46	1.97	148.54
